r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-0.000165262781,0,1700.14173
0,0.000357650242,5.09812139e-07,-1.15728556e-06,-0.000163934555,-0.0157592418,1700.33965
0,0.000741017226,1.03036352e-06,-2.96126543e-06,-0.000162515752,-0.0458321539,1700.61525
0,0.00115195011,1.55854057e-06,-6.78203381e-06,-0.000160999946,-0.076012137,1700.87991
0,0.00159243101,2.0927e-06,-1.22839607e-05,-0.00015938061,-0.109437733,1701.13945
0,0.00206458457,2.63271631e-06,-2.00137941e-05,-0.000157651113,-0.144008387,1701.39731
0,0.0025706882,3.17600112e-06,-3.01644621e-05,-0.000155804574,-0.180300587,1701.65571
0,0.00311318307,3.71976933e-06,-4.31016616e-05,-0.000153833839,-0.218126583,1701.91607
0,0.00369468589,4.26049005e-06,-5.91629098e-05,-0.000151731472,-0.257582831,1702.17941
0,0.00431800152,4.79404761e-06,-7.87255221e-05,-0.000149489769,-0.29866808,1702.44642
0,0.00498613648,5.31560479e-06,-0.00010217812,-0.000147100777,-0.341408427,1702.71758
0,0.0057023135,5.8195841e-06,-0.000129923698,-0.000144556316,-0.385810544,1702.9932
0,0.00646998704,6.29959136e-06,-0.000162367997,-0.000141848021,-0.431875509,1703.27339
0,0.00729285993,6.74842931e-06,-0.000199909389,-0.000138967379,-0.479593244,1703.55816
0,0.00817490128,7.15805429e-06,-0.000242923928,-0.000135905776,-0.528945327,1703.84731
0,0.00912036556,7.51958385e-06,-0.000291746986,-0.000132654558,-0.579906001,1704.14045
0,0.0101338132,7.82335997e-06,-0.000346648554,-0.000129205092,-0.632436813,1704.43701
0,0.0112201325,8.05878574e-06,-0.000407805301,-0.000125548845,-0.686498311,1704.73617
0,0.0123845633,8.21446346e-06,-0.000475259061,-0.000121677468,-0.742034323,1705.03679
0,0.0136327222,8.27810332e-06,-0.000548880606,-0.000117582886,-0.799018381,1705.33748
0,0.0149706296,8.23725461e-06,-0.000628295315,-0.000113257387,-0.857366186,1705.63648
0,0.0164047389,8.07811727e-06,-0.000712859113,-0.000108693715,-0.917134972,1705.93166
0,0.0179419674,7.78836759e-06,-0.000801498545,-0.000103885158,-0.978146065,1706.22056
0,0.0195897299,7.35296374e-06,-0.00089278131,-9.88256429e-05,-1.04073188,1706.50036
0,0.0213559743,6.76344997e-06,-0.000984522651,-9.35098075e-05,-1.10438923,1706.76798
0,0.0232492201,6.00217503e-06,-0.00107420847,-8.79330901e-05,-1.17024029,1707.02019
0,0.0252785992,5.07330097e-06,-0.00115793591,-8.20917802e-05,-1.23676012,1707.25371
0,0.0274539002,3.94834006e-06,-0.00123189216,-7.59831302e-05,-1.30715269,1707.46546
0,0.0297856156,2.66972576e-06,-0.00128962181,-6.96053771e-05,-1.37708926,1707.65278
0,0.0322849924,1.15333159e-06,-0.00132635105,-6.29580025e-05,-1.45573988,1707.81363
0,0.0349640862,-4.85607389e-07,-0.00133405656,-5.604172e-05,-1.53285259,1707.94681
0,0.0378358195,-2.24089911e-06,-0.00129893637,-4.88589971e-05,-1.61422193,1708.05206
0,0.040914044,-4.17180016e-06,-0.00121714821,-4.14145436e-05,-1.70907259,1708.13016
0,0.0442136074,-6.1193539e-06,-0.00107677962,-3.37159604e-05,-1.80528867,1708.18275
0,0.0477504251,-8.09405715e-06,-0.000864630286,-2.57751464e-05,-1.91611825,1708.21217
0,0.0515415566,-9.96027466e-06,-0.000572023487,-1.76097113e-05,-2.03682561,1708.22157
0,0.0556052884,-1.16527023e-05,-0.000188734274,-9.24530734e-06,-2.17529871,1708.21405
0,0.0599612217,-1.30201249e-05,0.000289602443,-7.18125839e-07,-2.33199496,1708.19243
0,0.0646303672,-1.39376667e-05,0.0008631565,7.92211029e-06,-2.51276978,1708.15982
0,0.0696352464,-1.42369078e-05,0.00152201732,1.66095232e-05,-2.7201671,1708.11894
0,0.075,-1.37709129e-05,0.00224487318,2.52675016e-05,-2.96030933,1708.07225
0,0.0803647536,-1.25105709e-05,0.00294568454,3.32560962e-05,-3.21601099,1708.02523
0,0.0853696328,-1.06810063e-05,0.00354176076,4.01059824e-05,-3.4673327,1707.98239
0,0.0900387783,-8.48983041e-06,0.00401635347,4.59797249e-05,-3.71248521,1707.94333
0,0.0943947116,-6.10085809e-06,0.00436424078,5.10285787e-05,-3.94866096,1707.90627
0,0.0984584434,-3.67886427e-06,0.00458825508,5.53855028e-05,-4.1739382,1707.86761
0,0.102249575,-1.26969048e-06,0.00470154932,5.91650804e-05,-4.38245877,1707.82141
0,0.105786393,9.60225794e-07,0.00471087245,6.24642991e-05,-4.58532545,1707.7586
0,0.109085956,2.99149477e-06,0.00463023987,6.53641238e-05,-4.76903839,1707.66663
0,0.112164181,4.82573173e-06,0.00448309034,6.79312243e-05,-4.93715432,1707.52946
0,0.115035914,6.39772464e-06,0.00428092211,7.02195202e-05,-5.09566724,1707.32855
0,0.117715008,7.72752397e-06,0.00403703108,7.22722286e-05,-5.2400787,1707.04477
0,0.120214384,8.80532905e-06,0.00376502943,7.41238688e-05,-5.37512631,1706.66102
0,0.1225461,9.65213675e-06,0.00347553321,7.58018791e-05,-5.49951702,1706.16497
0,0.124721401,1.02765135e-05,0.00317834394,7.73281476e-05,-5.61636326,1705.55112
0,0.12675078,1.07022377e-05,0.00288094819,7.87202008e-05,-5.72557148,1704.82166
0,0.128644026,1.09459073e-05,0.00258969311,7.99922567e-05,-5.82903569,1703.98611
0,0.13041027,1.1030694e-05,0.00230923215,8.11560125e-05,-5.92700724,1703.05988
0,0.132058033,1.09752562e-05,0.00204315307,8.22212872e-05,-6.02052308,1702.06222
0,0.133595261,1.08002819e-05,0.00179386214,8.31964913e-05,-6.10980468,1701.01407
0,0.13502937,1.05234441e-05,0.00156293677,8.40889817e-05,-6.19533887,1699.93613
0,0.136367278,1.01621861e-05,0.00135117348,8.49053175e-05,-6.27722757,1698.84747
0,0.137615437,9.73180535e-06,0.00115880136,8.56514379e-05,-6.35566179,1697.76464
0,0.138779867,9.24656807e-06,0.00098556727,8.63327974e-05,-6.43067208,1696.7012
0,0.139866187,8.7187417e-06,0.000830873903,8.69544431e-05,-6.50232437,1695.66774
0,0.140879634,8.15925369e-06,0.000693861402,8.75210802e-05,-6.57063802,1694.67205
0,0.141825099,7.57763359e-06,0.000573494982,8.80371043e-05,-6.63565033,1693.71948
0,0.14270714,6.98211856e-06,0.000468623798,8.85066266e-05,-6.69740554,1692.81334
0,0.143530013,6.37977328e-06,0.000378038447,8.89334967e-05,-6.75594909,1691.95528
0,0.144297686,5.7763844e-06,0.000300506132,8.93213088e-05,-6.81137164,1691.14571
0,0.145013864,5.17707646e-06,0.000234813216,8.96734126e-05,-6.86371275,1690.38406
0,0.145681998,4.58565411e-06,0.000179769518,8.99929254e-05,-6.91315108,1689.66909
0,0.146305314,4.00601919e-06,0.000134260237,9.02827352e-05,-6.95962494,1688.99908
0,0.146886817,3.43985973e-06,9.71926279e-05,9.05455139e-05,-7.0035704,1688.37204
0,0.147429312,2.89105818e-06,6.76256761e-05,9.0783723e-05,-7.0444745,1687.78577
0,0.147935415,2.35845609e-06,4.45421924e-05,9.09996235e-05,-7.08366652,1687.23803
0,0.148407569,1.84854624e-06,2.72908432e-05,9.11952871e-05,-7.11877857,1686.72655
0,0.14884805,1.35412972e-06,1.47660574e-05,9.13726015e-05,-7.15425077,1686.24913
0,0.149258983,8.85572555e-07,6.87384687e-06,9.15332777e-05,-7.18157112,1685.80361
0,0.14964235,4.30939682e-07,1.97684133e-06,9.16788279e-05,-7.21883157,1685.38792
0,0.15,0,0,9.1810726e-05,-7.24644155,1685.07372
0.000219181974,0.15,0,0,0.000183621452,-7.24633964,1685
0.000220027669,0.14964235,8.57275972e-07,1.96683156e-06,0.000183357251,-7.2192571,1685.38779
0.000220934173,0.149258983,1.7591844e-06,6.86331292e-06,0.000183066132,-7.18264448,1685.80345
0.00022190586,0.14884805,2.68834908e-06,1.47533052e-05,0.000182744794,-7.15580329,1686.24896
0.000222947415,0.148407569,3.6688749e-06,2.72748418e-05,0.000182390185,-7.12091074,1686.72635
0.000224063863,0.147935415,4.68100269e-06,4.45244796e-05,0.000181998884,-7.08634312,1687.2378
0.000225260588,0.147429312,5.73794901e-06,6.76042471e-05,0.000181567113,-7.04775768,1687.78551
0.000226543365,0.146886817,6.82718218e-06,9.71677e-05,0.000181090731,-7.00744939,1688.37173
0.000227918378,0.146305314,7.95082307e-06,0.000134230124,0.000180565217,-6.96412339,1688.99874
0.000229392262,0.145681998,9.10127079e-06,0.000179733363,0.000179985647,-6.91826834,1689.6687
0.000230972125,0.145013864,1.02751259e-05,0.000234769398,0.000179346681,-6.86945532,1690.38361
0.000232665587,0.144297686,1.14646844e-05,0.000300453112,0.000178642542,-6.81773527,1691.1452
0.000234480818,0.143530013,1.26623799e-05,0.000377974252,0.000177866998,-6.76292692,1691.95471
0.000236426572,0.14270714,1.38580524e-05,0.000468546311,0.000177013351,-6.70498292,1692.81269
0.000238512235,0.141825099,1.50402195e-05,0.000573401769,0.000176074415,-6.64380582,1693.71875
0.000240747867,0.140879634,1.61948698e-05,0.000693749778,0.000175042492,-6.57934147,1694.67124
0.000243144252,0.139866187,1.73056533e-05,0.000830740922,0.000173909363,-6.51153644,1695.66684
0.000245712948,0.138779867,1.83536575e-05,0.000985409816,0.000172666238,-6.44034325,1696.70022
0.000248466345,0.137615437,1.93171931e-05,0.00115861621,0.000171303711,-6.36573109,1697.76357
0.000251417725,0.136367278,2.0171916e-05,0.00135095737,0.00016981169,-6.28762231,1698.84633
0.000254581322,0.13502937,2.08895046e-05,0.00156268652,0.000168179271,-6.20597262,1699.93492
0.000257972398,0.133595261,2.1439574e-05,0.00179357511,0.000166394579,-6.12057935,1701.01281
0.000261607308,0.132058033,2.1787496e-05,0.0020428271,0.000164444502,-6.03132401,1702.06094
