r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-0.000150238865,0,1700.1399
0,0.000357650242,3.50647347e-07,-9.37360494e-07,-0.000149061537,-0.0145968197,1700.33368
0,0.000741017226,7.03785214e-07,-2.05805694e-06,-0.000147803871,-0.0425024658,1700.60289
0,0.00115195011,1.05667975e-06,-4.65033845e-06,-0.000146460137,-0.0706345613,1700.86068
0,0.00159243101,1.40751947e-06,-8.33640598e-06,-0.0001450245,-0.101766901,1701.11284
0,0.00206458457,1.75597156e-06,-1.35156501e-05,-0.000143491013,-0.133877794,1701.36279
0,0.0025706882,2.09959102e-06,-2.02485852e-05,-0.00014185349,-0.167597863,1701.61268
0,0.00311318307,2.4358179e-06,-2.87555276e-05,-0.000140105473,-0.202760615,1701.86391
0,0.00369468589,2.7614762e-06,-3.9211825e-05,-0.000138240224,-0.239468162,1702.11745
0,0.00431800152,3.07293712e-06,-5.18127276e-05,-0.000136250729,-0.277727814,1702.37395
0,0.00498613648,3.3660168e-06,-6.67439285e-05,-0.000134129704,-0.317574358,1702.63386
0,0.0057023135,3.63597828e-06,-8.41832454e-05,-0.00013186961,-0.359026099,1702.89746
0,0.00646998704,3.87749012e-06,-0.000104287768,-0.000129462676,-0.402097415,1703.16489
0,0.00729285993,4.08463088e-06,-0.000127184163,-0.000126900916,-0.44679825,1703.43613
0,0.00817490128,4.25092685e-06,-0.000152950745,-0.000124176166,-0.493124198,1703.71105
0,0.00912036556,4.36921755e-06,-0.000181606483,-0.000121280114,-0.541089856,1703.98934
0,0.0101338132,4.43213859e-06,-0.000213070987,-0.000118204341,-0.590646808,1704.27057
0,0.0112201325,4.43101224e-06,-0.000247176753,-0.000114940377,-0.641873538,1704.55411
0,0.0123845633,4.35834024e-06,-0.000283549517,-0.000111479748,-0.694569594,1704.83914
0,0.0136327222,4.20266071e-06,-0.000321747316,-0.000107814049,-0.749110526,1705.12465
0,0.0149706296,3.95967857e-06,-0.00036085868,-0.000103934997,-0.80475777,1705.4094
0,0.0164047389,3.61089263e-06,-0.000400122489,-9.98345098e-05,-0.862887597,1705.69191
0,0.0179419674,3.1643301e-06,-0.000437632509,-9.55047615e-05,-0.921095209,1705.97049
0,0.0195897299,2.58275992e-06,-0.000472400268,-9.09382908e-05,-0.983549798,1706.2432
0,0.0213559743,1.90861949e-06,-0.000500779359,-8.61280238e-05,-1.04359842,1706.50794
0,0.0232492201,1.05548529e-06,-0.000521539237,-8.10674702e-05,-1.1122061,1706.76247
0,0.0252785992,1.17928269e-07,-0.000532196976,-7.57506504e-05,-1.17729553,1707.00445
0,0.0274539002,-9.66682375e-07,-0.000522576596,-7.01724204e-05,-1.24368343,1707.23162
0,0.0297856156,-2.22457297e-06,-0.000492872506,-6.43284811e-05,-1.32125449,1707.44185
0,0.0322849924,-3.53029371e-06,-0.000436973009,-5.82155861e-05,-1.39402614,1707.63327
0,0.0349640862,-4.99380894e-06,-0.000345875061,-5.18320505e-05,-1.47702382,1707.80442
0,0.0378358195,-6.49536034e-06,-0.000213907874,-4.51779225e-05,-1.56199456,1707.95432
0,0.040914044,-8.06230003e-06,-3.15395073e-05,-3.82558477e-05,-1.65623547,1708.08257
0,0.0442136074,-9.60360849e-06,0.000208599631,-3.10718001e-05,-1.75775826,1708.18933
0,0.0477504251,-1.10810802e-05,0.000515232656,-2.36364003e-05,-1.87075589,1708.27535
0,0.0515415566,-1.24003668e-05,0.000894743645,-1.59664247e-05,-1.99654489,1708.34181
0,0.0556052884,-1.34733076e-05,0.001351968,-8.0867977e-06,-2.13852437,1708.39033
0,0.0599612217,-1.41844539e-05,0.00188689631,-3.28020711e-08,-2.2999822,1708.42275
0,0.0646303672,-1.44089272e-05,0.00249380822,8.14763791e-06,-2.48405291,1708.44109
0,0.0696352464,-1.40170503e-05,0.00315700401,1.63921968e-05,-2.69464665,1708.44726
0,0.075,-1.28774561e-05,0.00385022002,2.46303577e-05,-2.93486497,1708.44389
0,0.0803647536,-1.10484253e-05,0.00448782185,3.22561858e-05,-3.18986584,1708.43421
0,0.0853696328,-8.77868353e-06,0.00499831832,3.8821674e-05,-3.43623372,1708.42153
0,0.0900387783,-6.28174304e-06,0.00537121628,4.44803972e-05,-3.67730579,1708.40787
0,0.0943947116,-3.67745959e-06,0.0056097955,4.93750582e-05,-3.90305279,1708.39358
0,0.0984584434,-1.14162663e-06,0.00572601358,5.36305319e-05,-4.11978091,1708.37717
0,0.102249575,1.28263963e-06,0.0057235552,5.73536698e-05,-4.32529682,1708.35484
0,0.105786393,3.53778555e-06,0.0056220383,6.06339135e-05,-4.50920737,1708.31966
0,0.109085956,5.52387331e-06,0.00544389536,6.35454964e-05,-4.68224513,1708.26071
0,0.112164181,7.2688232e-06,0.00520183386,6.61488667e-05,-4.84084693,1708.16272
0,0.115035914,8.74077339e-06,0.00491201063,6.84924144e-05,-4.98638897,1708.00653
0,0.117715008,9.95140553e-06,0.00458883908,7.06145875e-05,-5.11984767,1707.77092
0,0.120214384,1.09060556e-05,0.00424504086,7.25458082e-05,-5.24245195,1707.43543
0,0.1225461,1.16216626e-05,0.0038914827,7.43101286e-05,-5.35580077,1706.98368
0,0.124721401,1.21167541e-05,0.00353712427,7.59266381e-05,-5.4611002,1706.40615
0,0.12675078,1.24123252e-05,0.0031892378,7.74106333e-05,-5.55979122,1705.70184
0,0.128644026,1.25304995e-05,0.00285344462,7.8774565e-05,-5.65287814,1704.87829
0,0.13041027,1.24929006e-05,0.00253397926,8.00287781e-05,-5.74135727,1703.95032
0,0.132058033,1.23208822e-05,0.00223381714,8.11820742e-05,-5.82587301,1702.93779
0,0.133595261,1.20343778e-05,0.00195490297,8.22421307e-05,-5.90696494,1701.86317
0,0.13502937,1.16521599e-05,0.00169830279,8.32157985e-05,-5.98493633,1700.74921
0,0.136367278,1.11912583e-05,0.0014643853,8.41093145e-05,-6.05999501,1699.61722
0,0.137615437,1.06672453e-05,0.00125295893,8.49284407e-05,-6.13222691,1698.48591
0,0.138779867,1.00940127e-05,0.00106340541,8.56785663e-05,-6.2016699,1697.3708
0,0.139866187,9.4837866e-06,0.000894788329,8.63647592e-05,-6.26831577,1696.28411
0,0.140879634,8.84721681e-06,0.000745948941,8.69918086e-05,-6.33215197,1695.23495
0,0.141825099,8.19361383e-06,0.000615582476,8.75642407e-05,-6.39315703,1694.22967
0,0.14270714,7.53091079e-06,0.00050229995,8.80863294e-05,-6.45133319,1693.27228
0,0.143530013,6.86591374e-06,0.000404680307,8.85621072e-05,-6.5066776,1692.36494
0,0.144297686,6.20415082e-06,0.000321304398,8.8995364e-05,-6.55924142,1691.50836
0,0.145013864,5.55049241e-06,0.000250794234,8.9389651e-05,-6.60902475,1690.70215
0,0.145681998,4.90847063e-06,0.000191815555,8.97482865e-05,-6.65617406,1689.94515
0,0.146305314,4.28175025e-06,0.00014312753,9.00743572e-05,-6.70059601,1689.23563
0,0.146886817,3.67177833e-06,0.000103527155,9.03707275e-05,-6.74270205,1688.57153
0,0.147429312,3.08223606e-06,7.19778907e-05,9.06400441e-05,-6.78195016,1687.95059
0,0.147935415,2.51175989e-06,4.73784499e-05,9.08847443e-05,-6.81965634,1687.37044
0,0.148407569,1.96670965e-06,2.90060693e-05,9.11070666e-05,-6.85341277,1686.8287
0,0.14884805,1.43957074e-06,1.56902013e-05,9.13090562e-05,-6.88764535,1686.32303
0,0.149258983,9.40328935e-07,7.28604482e-06,9.14925708e-05,-6.91381682,1685.85115
0,0.14964235,4.57071093e-07,2.11929948e-06,9.16592579e-05,-6.95045783,1685.41087
0,0.15,0,0,9.1810726e-05,-6.97799803,1685.07808
0.000219181974,0.15,0,0,0.000183621452,-6.97789812,1685
0.000220027669,0.14964235,9.09450889e-07,2.10874426e-06,0.000183318105,-6.95091051,1685.41073
0.000220934173,0.149258983,1.86831343e-06,7.27467656e-06,0.000182984713,-6.91496096,1685.85099
0.00022190586,0.14884805,2.85829385e-06,1.56766135e-05,0.0001826177,-6.88930377,1686.32284
0.000222947415,0.148407569,3.90373794e-06,2.89890562e-05,0.000182213744,-6.8556877,1686.82849
0.000224063863,0.147935415,4.98570322e-06,4.73595261e-05,0.000181769129,-6.82251653,1687.37019
0.000225260588,0.147429312,6.11791339e-06,7.19550501e-05,0.000181279762,-6.78546112,1687.95031
0.000226543365,0.146886817,7.28811064e-06,0.000103500557,0.00018074117,-6.74685575,1688.57121
0.000227918378,0.146305314,8.49881659e-06,0.000143095407,0.000180148477,-6.70541911,1689.23526
0.000229392262,0.145681998,9.74283315e-06,0.000191776957,0.000179496392,-6.66166892,1689.94473
0.000230972125,0.145013864,1.10172369e-05,0.00025074742,0.000178779186,-6.61520103,1690.70168
0.000232665587,0.144297686,1.2314795e-05,0.000321247691,0.000177990689,-6.56609811,1691.50783
0.000234480818,0.143530013,1.36284839e-05,0.000404611571,0.000177124264,-6.51421121,1692.36434
0.000236426572,0.14270714,1.49486507e-05,0.000502216854,0.000176172811,-6.45953236,1693.2716
0.000238512235,0.141825099,1.62643258e-05,0.00061548233,0.000175128753,-6.40200378,1694.22891
0.000240747867,0.140879634,1.75620106e-05,0.00074582875,0.000173984026,-6.34161954,1695.23411
0.000243144252,0.139866187,1.88259607e-05,0.000894644782,0.000172730086,-6.27836834,1696.28318
0.000245712948,0.138779867,2.00376994e-05,0.00106323492,0.000171357882,-6.21226112,1697.36978
0.000248466345,0.137615437,2.11760889e-05,0.00125275776,0.00016985784,-6.14329928,1698.48481
0.000251417725,0.136367278,2.22168653e-05,0.00146414952,0.000168219826,-6.07147846,1699.61604
0.000254581322,0.13502937,2.31324508e-05,0.00169802851,0.000166433066,-5.99674787,1700.74797
0.000257972398,0.133595261,2.38919194e-05,0.00195458658,0.00016448604,-5.9190076,1701.86189
0.000261607308,0.132058033,2.44614617e-05,0.00223345558,0.00016236628,-5.83803582,1702.9365
0.000265503585,0.13041027,2.4803795e-05,0.00253357031,0.000160060088,-5.75351415,1703.94904
0.000269680022,0.128644026,2.48793304e-05,0.00285298747,0.000157552118,-5.66488992,1704.87707
0.000274156766,0.12675078,2.46456374e-05,0.0031887334,0.000154824774,-5.57150387,1705.70072
0.000278955408,0.124721401,2.40597641e-05,0.00353657631,0.000151857378,-5.47235002,1706.40516
0.000284099095,0.1225461,2.30777117e-05,0.00389089785,0.000148625043,-5.36641095,1706.98283
0.000289612638,0.120214384,2.16577915e-05,0.00424443046,0.000145097193,-5.25224314,1707.43474
0.000295522631,0.117715008,1.9763057e-05,0.00458821885,0.000141235676,-5.12863149,1707.77038
0.00030185758,0.115035914,1.73599889e-05,0.00491140292,0.000136992419,-4.99398609,1708.00613
0.000308648042,0.112164181,1.44375058e-05,0.00520126698,0.000132306622,-4.84707963,1708.16242
0.00031592677,0.109085956,1.0973298e-05,0.00544340382,0.000127101444,-4.68695241,1708.2605
0.000323728873,0.105786393,7.02814602e-06,0.00562166852,0.000121280177,-4.51228498,1708.3195
0.000332091984,0.102249575,2.55189654e-06,0.0057233345,0.000114722015,-4.32654836,1708.35471
0.000341056442,0.0984584434,-2.26483432e-06,0.0057260381,0.000107278599,-4.11930267,1708.37705
0.000350665488,0.0943947116,-7.30417533e-06,0.00561009478,9.87711752e-05,-3.90077682,1708.39345
0.000360965469,0.0900387783,-1.24764043e-05,0.00537182637,8.89861946e-05,-3.67332049,1708.40775
0.000372006067,0.0853696328,-1.74374923e-05,0.00499930626,7.76740724e-05,-3.43067231,1708.4214
0.000383840537,0.0803647536,-2.19485916e-05,0.00448918698,6.45495882e-05,-3.18306219,1708.43409
0.000396525961,0.075,-2.55853574e-05,0.00385183756,4.9302682e-05,-2.92711324,1708.44379
0.000409211385,0.0696352464,-2.78533495e-05,0.00315851994,3.28252569e-05,-2.68638091,1708.44719
0.000421045854,0.0646303672,-2.86344295e-05,0.00249505762,1.63320497e-05,-2.47569639,1708.44106
0.000432086453,0.0599612217,-2.81897072e-05,0.00188787308,-3.27306553e-08,-2.291924,1708.42276
0.000442386434,0.0556052884,-2.67767921e-05,0.00135269945,-1.61443721e-05,-2.13101877,1708.39039
0.000445081285,0.15,0,0,0.000372870407,-6.97759082,1685
0.000446834408,0.14964235,1.82156691e-06,2.09335112e-06,0.000372283527,-6.95133457,1685.41073
0.000448713589,0.149258983,3.73142823e-06,7.26680469e-06,0.000371638035,-6.91603836,1685.85099
0.000450727892,0.14884805,5.7078893e-06,1.56614555e-05,0.000370926207,-6.8907189,1686.32284
0.000451995479,0.0515415566,-2.46443376e-05,0.000895264723,-3.19069932e-05,-1.98978223,1708.34191
0.000452887032,0.148407569,7.79380388e-06,2.89690767e-05,0.000370141305,-6.8577193,1686.82848
0.000455201426,0.147935415,9.95522284e-06,4.73426743e-05,0.000369275835,-6.82501991,1687.37018
