r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-3.00478305e-05,0,1700.13959
0,0.000357650242,-2.73759809e-07,3.23361396e-07,-2.95683737e-05,-0.0121912208,1700.33266
0,0.000741017226,-5.81498355e-07,1.83938564e-06,-2.90563726e-05,-0.0339039379,1700.60075
0,0.00115195011,-9.24873605e-07,3.81696873e-06,-2.85094472e-05,-0.0532966179,1700.85728
0,0.00159243101,-1.30741044e-06,7.23137823e-06,-2.79251789e-05,-0.0743986548,1701.10797
0,0.00206458457,-1.73169731e-06,1.21773271e-05,-2.73010944e-05,-0.0962459421,1701.3562
0,0.0025706882,-2.2000594e-06,1.90646104e-05,-2.66346046e-05,-0.119146208,1701.60404
0,0.00311318307,-2.71516544e-06,2.82922141e-05,-2.59229844e-05,-0.142937991,1701.85282
0,0.00369468589,-3.27973178e-06,4.03728598e-05,-2.51633625e-05,-0.167687754,1702.10339
0,0.00431800152,-3.89643002e-06,5.58957091e-05,-2.43527151e-05,-0.193397462,1702.35632
0,0.00498613648,-4.56783054e-06,7.55571527e-05,-2.34878607e-05,-0.220090921,1702.61195
0,0.0057023135,-5.29628776e-06,0.000100169573,-2.25654562e-05,-0.247782763,1702.87045
0,0.00646998704,-6.08384046e-06,0.000130680011,-2.15819942e-05,-0.276490796,1703.13183
0,0.00729285993,-6.93208492e-06,0.000168187159,-2.05338017e-05,-0.306232766,1703.396
0,0.00817490128,-7.84203069e-06,0.000213960812,-1.94170409e-05,-0.337029547,1703.66275
0,0.00912036556,-8.81392983e-06,0.000269461898,-1.82277123e-05,-0.368906223,1703.93174
0,0.0101338132,-9.84708931e-06,0.000336362987,-1.69616615e-05,-0.401895995,1704.20257
0,0.0112201325,-1.09396211e-05,0.000416569087,-1.56145912e-05,-0.436041535,1704.47472
0,0.0123845633,-1.20882063e-05,0.00051223608,-1.41820786e-05,-0.471402826,1704.7476
0,0.0136327222,-1.32877661e-05,0.000625789197,-1.26596018e-05,-0.508054333,1705.02055
0,0.0149706296,-1.45312525e-05,0.00075993179,-1.10425755e-05,-0.546107952,1705.29285
0,0.0164047389,-1.58090706e-05,0.000917658217,-9.32640126e-06,-0.585687463,1705.56373
0,0.0179419674,-1.71091339e-05,0.0011022352,-7.50653497e-06,-0.62700199,1705.8324
0,0.0195897299,-1.84157214e-05,0.00131721004,-5.57857493e-06,-0.670237632,1706.09806
0,0.0213559743,-1.9710454e-05,0.00156632507,-3.53837855e-06,-0.715784071,1706.35993
0,0.0232492201,-2.09695112e-05,0.00185353977,-1.3822113e-06,-0.763874735,1706.61725
0,0.0252785992,-2.2167318e-05,0.00218278774,8.93067072e-07,-0.815237831,1706.86931
0,0.0274539002,-2.32696287e-05,0.00255808484,3.28976975e-06,-0.870060626,1707.11545
0,0.0297856156,-2.42439032e-05,0.00298292733,5.80910333e-06,-0.929712269,1707.35511
0,0.0322849924,-2.50427241e-05,0.00346069328,8.45083633e-06,-0.994052056,1707.58778
0,0.0349640862,-2.5629212e-05,0.00399324219,1.12129273e-05,-1.06566843,1707.81304
0,0.0378358195,-2.59393919e-05,0.00458213451,1.4091109e-05,-1.14340176,1708.03056
0,0.040914044,-2.59393346e-05,0.00522548591,1.70784953e-05,-1.23216799,1708.24006
0,0.0442136074,-2.55435461e-05,0.00592124789,2.01651799e-05,-1.32824053,1708.44133
0,0.0477504251,-2.47370431e-05,0.0066602746,2.33380761e-05,-1.44103104,1708.6342
