r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.11428
0,0.000357650242,6.5954122e-07,-1.40095411e-06,-8.92585879e-05,-0.0166547895,1700.25049
0,0.000741017226,1.34219709e-06,-3.83849316e-06,-8.83624655e-05,-0.0488426294,1700.43052
0,0.00115195011,2.04410526e-06,-8.81976952e-06,-8.74051421e-05,-0.0815812071,1700.59273
0,0.00159243101,2.76520308e-06,-1.60944078e-05,-8.63824882e-05,-0.117976951,1700.74243
0,0.00206458457,3.50583525e-06,-2.63488967e-05,-8.52903057e-05,-0.15599099,1700.88255
0,0.0025706882,4.26476317e-06,-3.99349779e-05,-8.4124237e-05,-0.196213991,1701.01472
0,0.00311318307,5.04032647e-06,-5.73972748e-05,-8.28797431e-05,-0.238519534,1701.13978
0,0.00369468589,5.83024366e-06,-7.92838544e-05,-8.15521005e-05,-0.283078546,1701.25809
0,0.00431800152,6.63170703e-06,-0.000106218597,-8.01364051e-05,-0.329976535,1701.36969
0,0.00498613648,7.44126891e-06,-0.00013887918,-7.86275803e-05,-0.379337992,1701.47436
0,0.0057023135,8.25481262e-06,-0.000178007036,-7.70203916e-05,-0.431280927,1701.57166
0,0.00646998704,9.06746646e-06,-0.000224403852,-7.53094647e-05,-0.485931588,1701.66102
0,0.00729285993,9.87361852e-06,-0.000278930678,-7.34893065e-05,-0.543420207,1701.74169
0,0.00817490128,1.0666851e-05,-0.000342503979,-7.15543317e-05,-0.603886241,1701.81277
0,0.00912036556,1.14399355e-05,-0.000416089193,-6.94988927e-05,-0.667478869,1701.87325
0,0.0101338132,1.2184842e-05,-0.000500691164,-6.73173151e-05,-0.734357057,1701.92197
0,0.0112201325,1.28925507e-05,-0.000597339473,-6.500394e-05,-0.804690424,1701.95767
0,0.0123845633,1.35529458e-05,-0.000707070442,-6.25531687e-05,-0.878672533,1701.97897
0,0.0136327222,1.4154999e-05,-0.000830896904,-5.99595122e-05,-0.956504432,1701.98451
0,0.0149706296,1.46865789e-05,-0.000969782552,-5.7217641e-05,-1.03843778,1701.97285
0,0.0164047389,1.51346808e-05,-0.00112458236,-5.43224341e-05,-1.12470359,1701.94254
0,0.0179419674,1.54847729e-05,-0.00129601517,-5.12690302e-05,-1.21565232,1701.89238
0,0.0195897299,1.57226185e-05,-0.00148454199,-4.80528735e-05,-1.31150795,1701.82138
0,0.0213559743,1.58315024e-05,-0.00169037907,-4.46697575e-05,-1.41281291,1701.72887
0,0.0232492201,1.5797147e-05,-0.00191322949,-4.11158607e-05,-1.51968246,1701.61469
0,0.0252785992,1.56003261e-05,-0.0021524452,-3.73877802e-05,-1.6330527,1701.47917
0,0.0274539002,1.52296579e-05,-0.0024064207,-3.34825556e-05,-1.75266472,1701.32328
0,0.0297856156,1.46630621e-05,-0.00267318304,-2.93977059e-05,-1.88026466,1701.14848
0,0.0322849924,1.38976812e-05,-0.00294902314,-2.5131264e-05,-2.01465832,1700.95666
0,0.0349640862,1.2907574e-05,-0.00323014702,-2.0681865e-05,-2.15923092,1700.74983
0,0.0378358195,1.17082148e-05,-0.00350965414,-1.60488711e-05,-2.31077001,1700.52978
0,0.040914044,1.02676673e-05,-0.00378157458,-1.12326389e-05,-2.47590096,1700.29769
0,0.0442136074,8.63726621e-06,-0.0040344741,-6.23491299e-06,-2.64743281,1700.05373
0,0.0477504251,6.7744304e-06,-0.0042603085,-1.05949835e-06,-2.8380961,1699.79683
0,0.0515415566,4.79316803e-06,-0.00444211201,4.28670728e-06,-3.03369722,1699.52454
0,0.0556052884,2.61190532e-06,-0.0045698458,9.7924168e-06,-3.25839164,1699.23297
0,0.0599612217,4.65452256e-07,-0.00463498296,1.54396502e-05,-3.49043097,1698.91681
0,0.0646303672,-1.69121877e-06,-0.00459614961,2.1201913e-05,-3.74098146,1698.5693
0,0.0696352464,-3.80059221e-06,-0.00446197458,2.70401324e-05,-4.03588509,1698.182
0,0.075,-5.54320944e-06,-0.00422113327,3.29053852e-05,-4.34535599,1697.74436
0,0.0803647536,-6.93914572e-06,-0.00388613507,3.83563166e-05,-4.68100466,1697.27794
0,0.0853696328,-7.74127647e-06,-0.00351218473,4.30510393e-05,-4.99855181,1696.81142
0,0.0900387783,-8.16749792e-06,-0.00311936468,4.70774837e-05,-5.3147792,1696.34359
